名称,省略名,使用,検索キー,並び順
不明,不明,1,,1
対象外,対象外,1,,2
課税売上 10%,課売 10%,1,,3
課税売上 10% 一種,課売 10% 一種,1,,4
課税売上 10% 二種,課売 10% 二種,1,,5
課税売上 10% 三種,課売 10% 三種,1,,6
課税売上 10% 四種,課売 10% 四種,1,,7
課税売上 10% 五種,課売 10% 五種,1,,8
課税売上 10% 六種,課売 10% 六種,1,,9
課税売上 (軽)8%,課売 (軽)8%,1,,10
課税売上 (軽)8% 一種,課売 (軽)8% 一種,1,,11
課税売上 (軽)8% 二種,課売 (軽)8% 二種,1,,12
課税売上 (軽)8% 三種,課売 (軽)8% 三種,1,,13
課税売上 (軽)8% 四種,課売 (軽)8% 四種,1,,14
課税売上 (軽)8% 五種,課売 (軽)8% 五種,1,,15
課税売上 (軽)8% 六種,課売 (軽)8% 六種,1,,16
課税売上 8%,課売 8%,1,,17
課税売上 8% 一種,課売 8% 一種,1,,18
課税売上 8% 二種,課売 8% 二種,1,,19
課税売上 8% 三種,課売 8% 三種,1,,20
課税売上 8% 四種,課売 8% 四種,1,,21
課税売上 8% 五種,課売 8% 五種,1,,22
課税売上 8% 六種,課売 8% 六種,1,,23
課税売上 5%,課売 5%,1,,24
課税売上 5% 一種,課売 5% 一種,1,,25
課税売上 5% 二種,課売 5% 二種,1,,26
課税売上 5% 三種,課売 5% 三種,1,,27
課税売上 5% 四種,課売 5% 四種,1,,28
課税売上 5% 五種,課売 5% 五種,1,,29
課税売上 5% 六種,課売 5% 六種,1,,30
輸出売上 0%,輸売 0%,1,,31
非課税売上,非売,1,,32
非課税売上-有価証券譲渡,非売-有証,1,,33
非課税資産輸出,非輸,1,,34
対象外売上,対象外売,1,,35
課税売上-返還等 10%,課売-返還 10%,1,,36
課税売上-返還等 10% 一種,課売-返還 10% 一種,1,,37
課税売上-返還等 10% 二種,課売-返還 10% 二種,1,,38
課税売上-返還等 10% 三種,課売-返還 10% 三種,1,,39
課税売上-返還等 10% 四種,課売-返還 10% 四種,1,,40
課税売上-返還等 10% 五種,課売-返還 10% 五種,1,,41
