取引No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),借方税額,貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),貸方税額,摘要,仕訳メモ,タグ,MF仕訳タイプ,決算整理仕訳
30,2025/04/01,水道光熱費,,,,課税仕入 10%,,8800,800,普通預金,三井住友BK,,,対象外,,8800,0,ｵｵｻｶｶﾞｽ,,,振替伝票,No
93,2025/04/01,消耗品費,,,,課税仕入 10%,,10700,972,役員借入金,,,,対象外,,10700,0,役員立替 ﾃｽﾄﾀﾛｳ,,,簡単入力,No
17,2025/04/02,仕入高,,,,課税仕入 10%,,103600,9418,未払金,ｱﾒﾘｶﾝEX,,,対象外,,103600,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
38,2025/04/02,荷造運賃,,,,課税仕入 10%,,14500,1318,未払金,ｱﾒﾘｶﾝEX,,,対象外,,14500,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
56,2025/04/02,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
54,2025/04/03,旅費交通費,,,,課税仕入 10%,,2100,190,現金,,,,対象外,,2100,0,国際交通 ﾀｸｼｰ,,,簡単入力,No
96,2025/04/03,現金,,,,対象外,,136600,0,普通預金,三井住友BK,,,対象外,,175900,0,ATM 引出し,,,振替伝票,No
35,2025/04/04,荷造運賃,,,,課税仕入 10%,,6900,627,未払金,ｱﾒﾘｶﾝEX,,,対象外,,6900,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
34,2025/04/05,荷造運賃,,,,課税仕入 10%,,6700,609,未払金,ｱﾒﾘｶﾝEX,,,対象外,,6700,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
55,2025/04/05,旅費交通費,,,,課税仕入 10%,,3200,290,現金,,,,対象外,,3200,0,国際交通 ﾀｸｼｰ,,,簡単入力,No
64,2025/04/05,新聞図書費,,,,課税仕入 10%,,2500,227,未払金,ｱﾒﾘｶﾝEX,,,対象外,,2500,0,AMAZON.CO.JP 書籍,,,簡単入力,No
71,2025/04/05,消耗品費,,,,課税仕入 10%,,300,27,未払金,VISA,,,対象外,,300,0,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ ﾃｽﾄﾃﾝ,,,簡単入力,No
86,2025/04/05,通信費,,,,課税仕入 10%,,300,27,現金,,,,対象外,,300,0,日本郵便 ﾃｽﾄ郵便局 切手,,,簡単入力,No
78,2025/04/06,荷造運賃,,,,課税仕入 10%,,1000,90,現金,,,,対象外,,1000,0,ローソン 宅配便,,,簡単入力,No
101,2025/04/06,普通預金,三井住友BK,,,対象外,,380300,0,役員借入金,,,,対象外,,607200,0,ﾃｽﾄ ﾀﾛｳ 役員借入,,,振替伝票,No
18,2025/04/07,仕入高,,,,課税仕入 10%,,10200,927,未払金,ｱﾒﾘｶﾝEX,,,対象外,,10200,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
28,2025/04/07,地代家賃,,,,非課税仕入,,150000,0,普通預金,三井住友BK,,,対象外,,150000,0,ﾌﾘｺﾐ ﾃｽﾄﾌﾄﾞｳｻﾝ 家賃,,,振替伝票,No
37,2025/04/07,荷造運賃,,,,課税仕入 10%,,4700,427,未払金,ｱﾒﾘｶﾝEX,,,対象外,,4700,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
